"Date","Time (GMT)","Highest","MHHW (m)","MHW (m)","MSL (m)","MTL (m)","MLW (m)","MLLW (m)","Lowest (m)","Inf"
"1958/04/01","00:00","NaN","NaN","0.72","0.022","-0.002","-0.724","NaN","NaN","0"
"1958/05/01","00:00","1.08","NaN","0.638","-0.078","-0.099","-0.837","NaN","-1.236","0"
"1958/06/01","00:00","0.958","NaN","0.65","-0.051","-0.078","-0.807","NaN","-1.084","0"
"1958/07/01","00:00","0.989","NaN","0.675","-0.023","-0.051","-0.776","NaN","-1.053","0"
"1958/08/01","00:00","1.019","NaN","0.666","-0.02","-0.032","-0.733","NaN","-1.084","0"
"1958/09/01","00:00","1.05","NaN","0.69","0.004","-0.029","-0.749","NaN","-1.175","0"
"1958/10/01","00:00","1.172","NaN","0.702","0.041","0.01","-0.682","NaN","-1.45","0"
"1958/11/01","00:00","1.202","NaN","0.583","-0.133","-0.151","-0.886","NaN","-1.724","0"
"1958/12/01","00:00","1.111","NaN","0.467","-0.215","-0.237","-0.941","NaN","-1.572","0"
"1959/01/01","00:00","1.08","NaN","0.443","-0.249","-0.273","-0.993","NaN","-2.059","0"
"1959/02/01","00:00","0.867","NaN","0.397","-0.276","-0.31","-1.02","NaN","-1.694","0"
"1959/03/01","00:00","1.385","NaN","0.519","-0.182","-0.2","-0.919","NaN","-1.572","0"
"1959/04/01","00:00","1.141","NaN","0.632","-0.06","-0.09","-0.816","NaN","-1.175","0"
"1959/05/01","00:00","1.019","NaN","0.507","-0.182","-0.209","-0.925","NaN","-1.358","0"
"1959/06/01","00:00","1.08","NaN","0.62","-0.075","-0.096","-0.813","NaN","-1.175","0"
"1959/07/01","00:00","0.958","NaN","0.565","-0.103","-0.133","-0.831","NaN","-1.084","0"
"1959/08/01","00:00","1.019","NaN","0.626","-0.06","-0.084","-0.791","NaN","-1.114","0"
"1959/09/01","00:00","0.928","NaN","0.644","-0.051","-0.075","-0.794","NaN","-1.053","0"
"1959/10/01","00:00","1.08","NaN","0.684","-0.011","-0.035","-0.758","NaN","-1.084","0"
"1959/11/01","00:00","1.05","NaN","0.589","-0.118","-0.127","-0.846","NaN","-1.45","0"
"1959/12/01","00:00","1.507","NaN","0.626","-0.081","-0.109","-0.84","NaN","-1.389","0"
"1960/01/01","00:00","1.202","NaN","0.617","-0.072","-0.103","-0.819","NaN","-1.48","0"
"1960/02/01","00:00","1.751","NaN","0.513","-0.157","-0.188","-0.889","NaN","-1.755","0"
"1960/03/01","00:00","0.958","NaN","0.553","-0.121","-0.151","-0.855","NaN","-1.389","0"
"1960/04/01","00:00","0.958","NaN","0.599","-0.084","-0.112","-0.822","NaN","-1.297","0"
"1960/05/01","00:00","1.111","NaN","0.641","-0.038","-0.051","-0.743","NaN","-1.084","0"
"1960/06/01","00:00","1.293","NaN","0.705","0.01","-0.011","-0.73","NaN","-1.053","0"
"1960/07/01","00:00","1.05","NaN","0.666","-0.032","-0.054","-0.773","NaN","-1.145","0"
"1960/08/01","00:00","1.111","NaN","0.708","0.013","-0.008","-0.724","NaN","-1.053","0"
"1960/09/01","00:00","2.269","NaN","0.766","0.053","0.026","-0.712","NaN","-0.993","0"
"1960/10/01","00:00","1.111","NaN","0.687","-0.005","-0.042","-0.77","NaN","-1.358","0"
"1960/11/01","00:00","1.202","NaN","0.595","-0.103","-0.124","-0.843","NaN","-1.267","0"
"1960/12/01","00:00","1.202","NaN","0.486","-0.209","-0.218","-0.925","NaN","-1.297","0"
"1961/01/01","00:00","1.354","NaN","0.467","-0.209","-0.221","-0.91","NaN","-1.389","0"
"1961/02/01","00:00","1.354","NaN","0.592","-0.084","-0.106","-0.807","NaN","-1.267","0"
"1961/03/01","00:00","1.507","NaN","0.647","-0.038","-0.063","-0.77","NaN","-1.419","0"
"1961/04/01","00:00","1.751","NaN","0.663","-0.017","-0.051","-0.761","NaN","-1.206","0"
"1961/05/01","00:00","0.989","NaN","0.641","-0.054","-0.084","-0.81","NaN","-1.267","0"
"1961/06/01","00:00","0.958","NaN","0.623","-0.081","-0.106","-0.834","NaN","-1.267","0"
"1961/07/01","00:00","1.05","NaN","0.681","-0.029","-0.057","-0.794","NaN","-1.175","0"
"1961/08/01","00:00","0.867","NaN","0.571","-0.127","-0.16","-0.889","NaN","-1.236","0"
"1961/09/01","00:00","1.141","NaN","0.65","-0.032","-0.057","-0.764","NaN","-1.084","0"
"1961/10/01","00:00","1.415","NaN","0.602","-0.066","-0.093","-0.785","NaN","-1.084","0"
"1961/11/01","00:00","1.293","NaN","0.525","-0.163","-0.173","-0.868","NaN","-1.297","0"
"1961/12/01","00:00","1.141","NaN","0.507","-0.163","-0.182","-0.871","NaN","-1.541","0"
"1962/01/01","00:00","0.958","NaN","0.385","-0.273","-0.304","-0.993","NaN","-1.511","0"
"1962/02/01","00:00","0.989","NaN","0.614","-0.084","-0.078","-0.767","NaN","-1.328","0"
